sex,afqt,arith,word,parag,math
male,114,35,20,26,35
male,119,40,21,23,35
male,115,34,25,23,37
male,122,35,22,23,43
female,117,38,22,26,35
male,118,31,24,32,37
male,119,38,22,20,37
male,117,36,25,23,37
female,113,36,25,20,33
male,120,39,20,26,37
male,112,31,24,26,37
male,115,31,25,23,40
male,120,38,20,35,38
male,120,32,26,23,38
male,117,38,20,26,37
male,121,36,26,23,35
male,119,34,26,26,35
male,116,34,20,23,40
male,120,34,25,32,32
female,112,31,21,32,37
male,120,32,24,32,38
male,119,34,24,32,35
female,119,38,25,20,37
female,107,28,21,29,35
female,119,38,22,26,37
female,117,38,21,26,35
female,113,36,21,29,33
female,103,28,20,26,35
male,118,38,20,23,38
male,119,38,21,29,37
male,117,38,22,26,35
female,121,39,20,29,38
female,115,30,28,23,35
female,117,35,22,29,38
female,119,35,24,23,40
male,112,35,25,23,33
female,119,38,21,26,37
female,121,36,25,26,35
female,120,30,22,32,40
male,110,28,20,26,38
male,117,36,25,23,37
male,112,38,24,23,30
male,119,32,24,29,37
male,120,38,26,23,32
female,118,36,20,23,40
male,113,28,25,23,41
male,121,39,22,20,38
female,95,26,20,20,29
female,95,26,20,20,29
male,120,39,20,32,37
male,120,32,22,35,38
male,117,42,20,26,33
female,118,39,20,23,37
male,108,28,20,23,38
male,113,36,20,35,33
male,115,38,20,26,33
female,123,39,21,23,40
female,120,38,22,20,38
female,116,31,22,32,35
female,119,31,25,26,38
male,106,35,20,23,29
male,113,31,24,29,32
male,110,34,26,20,32
female,110,34,28,20,32
male,121,39,20,23,40
female,117,40,22,23,33
male,118,34,25,32,30
male,119,34,25,26,35
male,120,36,21,23,40
male,118,34,24,20,40
male,118,34,20,32,40
female,111,31,20,41,30
male,120,35,25,29,35
male,115,36,20,32,35
female,105,32,21,32,29
male,109,32,20,35,33
male,116,32,29,26,30
male,115,38,25,23,33
male,118,35,24,29,33
female,116,34,28,20,32
male,122,35,22,23,43
female,111,32,25,23,35
male,113,34,22,26,35
female,95,26,20,20,29
male,113,38,20,20,33
female,95,26,20,20,29
female,122,34,24,29,38
male,113,32,22,26,37
female,96,26,20,20,30
female,103,30,20,20,33
female,100,30,20,20,30
male,95,26,20,20,29
female,112,27,29,20,35
male,118,31,26,35,29
male,96,27,20,20,29
male,118,34,21,23,40
male,114,39,20,20,35
female,117,32,24,29,35
female,100,30,20,20,30
male,104,35,20,20,29
male,99,28,20,23,29
male,117,38,21,23,35
male,109,32,22,26,33
male,109,32,21,23,33
male,95,26,20,20,29
male,99,26,25,20,29
female,121,40,20,29,37
female,119,40,26,26,29
female,114,32,22,29,38
male,95,26,20,20,29
male,119,36,28,20,33
male,111,34,20,26,33
male,118,36,21,26,38
male,116,34,24,26,38
female,117,38,21,26,35
male,116,42,25,23,30
male,116,32,24,26,40
male,119,30,29,26,35
female,107,26,20,29,37
female,118,35,24,32,33
male,122,35,25,26,37
male,116,35,20,32,37
female,115,34,24,23,37
male,113,32,24,26,37
male,116,34,21,32,38
male,114,32,22,29,38
female,112,35,22,29,33
male,113,36,20,26,35
male,119,34,25,20,41
female,118,38,20,23,38
male,116,35,28,20,37
male,112,35,22,26,33
male,117,32,21,20,43
male,114,30,28,26,30
female,114,32,29,20,32
male,113,36,26,20,33
male,106,27,22,20,35
male,122,36,25,32,32
female,113,36,25,23,33
female,119,36,22,32,33
male,120,30,25,29,40
female,116,35,21,23,37
male,120,35,25,20,41
female,119,34,24,23,41
male,115,38,24,26,33
male,117,35,24,23,38
male,114,35,24,26,35
male,115,42,25,23,29
male,119,34,26,23,35
male,95,26,20,20,29
female,95,26,20,20,29
male,110,31,22,26,35
female,122,35,28,26,33
male,120,34,25,32,32
male,116,31,24,20,41
male,121,34,22,20,43
male,109,30,21,23,35
male,111,34,20,20,37
female,122,34,26,23,38
female,117,36,24,23,37
male,97,28,20,20,29
male,105,28,20,26,33
male,117,30,22,35,37
male,113,32,22,23,37
male,118,31,20,26,43
female,95,26,20,20,29
female,106,30,20,29,32
male,116,34,24,23,38
male,102,28,25,23,30
male,114,35,24,23,35
male,117,36,21,26,37
male,115,36,24,26,35
male,117,34,25,26,33
male,121,36,24,29,35
male,115,31,20,29,40
female,116,34,20,26,40
male,117,35,21,26,38
male,118,30,28,20,38
male,121,36,20,26,43
male,121,34,26,23,37
female,120,35,22,32,35
female,119,38,20,32,37
female,116,32,24,23,40
male,118,31,21,29,43
male,123,42,21,23,37
male,111,38,22,29,29
female,95,26,20,20,29
male,120,39,20,32,37
male,114,34,20,26,38
male,114,35,24,23,35
male,99,30,20,20,29
male,109,28,20,32,37
male,122,39,24,29,33
male,112,30,25,20,38
female,114,32,25,23,38
male,112,32,26,26,30
male,116,34,21,26,38
female,120,35,28,23,35
male,121,30,25,32,37
male,120,36,20,32,40
male,115,40,20,29,33
female,118,35,22,35,33
male,120,38,24,23,38
male,107,27,20,20,40
male,117,32,24,32,35
male,118,34,24,26,40
female,115,34,25,23,37
male,95,26,20,20,29
female,118,39,21,29,35
male,118,34,21,23,40
male,121,42,21,23,35
male,122,39,24,29,33
female,120,32,24,29,38
male,120,39,24,20,37
male,119,32,25,32,33
female,114,32,22,20,38
female,114,35,20,29,35
female,119,31,25,29,38
male,125,38,28,26,33
female,123,42,21,26,37
male,123,36,22,32,37
female,126,39,25,26,37
male,122,34,26,26,38
male,124,39,24,29,35
female,123,38,25,26,35
female,126,39,26,23,37
female,124,32,30,23,38
female,123,35,29,20,38
male,123,32,26,29,37
male,122,31,28,35,33
female,119,35,22,29,40
female,123,36,26,23,37
female,123,35,25,26,38
female,121,32,28,29,35
male,124,35,29,23,35
female,121,34,28,29,33
female,125,38,25,26,37
female,121,32,25,35,35
female,123,38,26,26,35
male,124,34,26,23,40
female,125,34,33,20,33
male,125,38,21,26,43
male,124,39,25,29,35
male,125,35,26,23,40
male,122,38,21,29,40
female,124,36,25,26,38
female,122,35,26,32,33
male,124,39,25,26,35
female,124,39,24,29,35
male,126,35,25,26,41
female,124,36,24,32,38
female,124,32,24,35,38
female,121,34,22,35,37
male,124,34,24,29,40
male,120,36,25,23,40
female,124,36,26,35,30
female,124,34,28,23,40
female,125,38,29,29,29
male,125,36,29,23,35
female,126,39,25,26,37
male,126,39,24,29,37
female,126,35,28,26,37
male,124,32,31,20,38
male,122,35,24,26,43
female,123,31,28,26,38
male,122,30,25,23,48
female,124,38,28,29,32
female,124,32,28,26,38
male,123,34,28,29,35
male,121,38,24,32,33
female,126,36,26,23,40
male,123,34,28,26,35
male,122,35,25,29,37
female,124,35,26,29,35
female,126,34,25,32,38
male,126,34,24,35,38
male,119,32,25,23,43
male,123,36,29,23,33
female,122,35,26,26,37
male,125,35,21,35,40
male,121,34,24,32,37
male,119,38,24,26,37
female,125,34,25,32,37
female,126,36,24,29,40
male,126,38,24,29,38
male,125,38,21,35,37
female,123,42,24,23,37
male,121,34,25,29,37
male,125,32,30,26,35
female,125,31,26,29,40
male,121,30,25,29,41
female,124,35,26,29,35
male,122,39,25,29,33
male,119,38,25,23,37
male,124,40,20,29,40
male,123,36,26,23,37
male,121,39,25,23,38
female,125,38,28,26,33
male,121,36,21,29,41
female,124,35,25,32,35
male,126,38,25,26,38
male,124,35,28,26,35
female,123,39,21,26,40
male,121,34,28,23,37
male,125,34,25,26,41
female,126,35,28,26,37
male,124,32,28,29,38
male,121,38,25,29,33
male,125,38,24,29,37
male,125,35,26,23,40
female,126,31,25,38,37
male,119,34,24,26,41
female,124,31,22,32,43
male,124,34,22,32,40
female,126,35,28,26,37
female,119,35,24,26,40
male,119,34,22,29,41
female,124,36,24,32,38
female,123,34,25,35,35
female,122,35,28,29,33
male,124,38,26,29,32
female,126,34,21,41,38
male,121,34,26,32,33
male,126,34,26,29,38
female,123,30,26,35,35
female,123,35,24,29,38
male,123,38,25,29,35
female,125,36,24,35,35
female,123,32,24,29,41
female,124,35,29,23,35
female,123,35,25,29,38
male,127,39,21,23,44
female,122,38,25,23,40
male,124,36,25,29,38
female,123,36,29,32,29
female,121,38,24,32,33
female,126,35,26,29,37
male,123,36,24,32,37
male,126,31,30,32,33
male,126,38,26,23,38
female,126,35,20,26,49
female,123,39,21,29,40
male,123,32,26,29,37
male,126,35,30,20,37
male,125,43,21,26,38
male,126,38,25,26,38
male,124,39,24,20,41
male,122,38,24,26,40
female,121,32,29,26,35
female,121,36,26,26,35
male,123,40,20,29,41
male,124,39,28,23,35
male,123,36,28,23,37
male,121,39,20,32,38
male,124,31,21,38,43
male,121,39,26,26,32
male,124,39,28,23,35
female,122,34,25,29,38
female,125,38,21,35,37
male,123,35,25,29,38
male,121,40,24,23,37
female,121,34,25,29,37
male,126,32,29,35,32
male,123,31,29,23,38
female,124,35,28,29,35
male,124,39,25,29,35
female,121,38,22,35,33
male,125,31,28,38,32
male,124,35,28,29,35
male,123,32,26,26,41
female,121,35,29,26,32
male,123,34,26,29,35
male,125,39,21,20,44
female,124,39,24,29,35
female,121,40,25,23,37
female,123,36,26,23,37
female,123,36,25,26,37
female,125,34,25,32,37
male,119,38,26,20,37
male,124,32,25,32,38
male,125,36,26,29,35
male,123,36,24,29,37
male,124,38,26,32,32
male,124,36,28,20,38
male,124,30,24,29,44
male,125,36,26,29,35
female,125,31,28,26,40
male,125,38,28,26,33
male,124,31,26,38,35
female,125,34,25,32,37
male,122,38,22,26,40
male,125,34,28,26,37
female,124,39,24,23,41
female,124,36,25,26,38
female,124,40,31,20,30
male,126,34,29,23,38
female,125,38,22,32,37
male,123,32,30,20,37
male,124,38,30,20,32
male,123,36,28,20,37
male,121,36,24,26,41
male,122,34,25,23,44
male,123,38,24,29,35
male,125,34,24,29,41
female,128,31,25,32,43
male,129,38,22,32,41
male,129,36,25,26,43
male,128,36,26,29,38
female,128,45,21,35,33
male,127,36,29,23,37
male,126,39,29,26,33
female,129,38,25,26,41
male,129,38,26,29,37
male,127,34,25,26,43
male,125,31,28,29,40
female,129,39,25,26,40
male,129,35,26,29,40
female,127,36,28,29,37
female,125,35,28,23,40
male,126,35,28,29,37
female,127,36,33,23,33
female,127,35,30,23,38
male,129,34,30,32,33
male,127,34,31,23,35
male,126,31,29,32,37
male,129,42,25,32,33
female,126,35,28,29,37
female,125,35,24,32,40
male,125,36,26,32,35
male,129,34,29,29,37
male,129,31,26,35,40
male,129,39,34,20,32
female,127,35,28,26,38
female,127,35,29,26,38
male,129,35,28,26,40
male,129,35,28,26,40
male,127,32,28,35,37
female,127,40,25,26,37
male,128,36,29,23,38
male,127,32,28,32,37
male,127,32,28,29,41
female,128,36,28,26,38
male,127,34,30,26,35
female,127,34,26,26,43
male,128,38,26,23,40
female,128,42,25,32,32
female,129,32,33,26,35
female,125,38,29,26,33
male,127,42,25,20,41
male,127,36,24,29,41
male,129,34,25,32,41
male,125,36,28,29,35
female,126,35,28,29,37
female,129,36,29,29,35
female,125,34,28,29,37
female,126,34,28,29,38
male,125,31,25,35,40
male,128,35,30,26,35
male,126,31,28,35,37
female,126,32,29,26,40
male,127,36,29,26,37
male,129,38,20,38,41
male,129,36,28,32,35
female,129,32,30,32,35
male,128,35,28,32,35
female,129,42,25,26,37
male,126,35,26,32,37
male,129,38,25,32,37
male,126,35,22,35,41
male,129,38,25,32,37
female,127,32,29,35,33
female,129,34,26,29,41
female,126,36,22,35,40
male,125,34,25,29,41
male,128,42,29,23,32
female,127,36,31,26,33
female,127,36,26,29,37
male,123,39,21,32,40
female,127,38,28,26,35
female,126,34,30,23,38
female,127,36,31,20,37
female,127,38,29,23,35
male,127,36,29,29,33
female,125,34,26,32,37
female,128,32,28,32,38
female,127,38,26,32,35
male,127,35,29,23,38
male,126,35,25,29,41
female,125,46,25,23,35
male,129,34,25,38,37
female,126,40,29,26,32
female,125,38,26,26,37
female,125,34,31,26,33
female,125,34,26,32,37
male,129,34,29,35,33
male,129,38,29,23,37
female,128,36,28,26,38
female,127,36,24,32,41
female,127,40,28,20,37
female,127,35,21,41,38
female,127,34,26,38,35
female,128,39,29,23,35
male,127,38,29,26,35
male,127,36,22,32,41
female,127,32,31,26,37
female,127,36,29,32,33
female,129,38,25,32,37
male,127,36,29,29,33
male,125,34,28,29,37
male,126,34,29,26,38
female,129,38,26,35,33
male,127,42,24,20,41
male,128,39,25,32,35
male,128,34,24,29,44
male,127,36,24,32,41
male,127,39,25,26,38
male,127,30,28,38,35
male,125,38,25,23,43
female,127,32,31,23,37
male,126,39,24,32,37
female,129,39,26,23,40
female,126,35,26,32,37
male,125,36,30,23,35
female,126,34,26,32,38
male,127,32,28,32,37
female,129,34,28,38,33
male,129,42,28,20,37
male,128,35,31,23,35
male,129,34,24,35,41
male,125,38,26,20,43
male,127,36,28,26,37
female,129,36,29,29,35
male,129,39,25,26,40
male,125,39,25,35,32
male,127,36,28,26,37
female,126,35,30,29,33
male,127,35,26,32,38
female,127,38,26,32,35
female,126,36,31,26,32
male,127,31,26,26,46
male,127,32,28,26,41
female,126,38,24,32,38
male,124,40,25,23,40
male,125,38,30,29,29
male,125,36,28,29,35
female,129,32,30,32,35
female,128,36,29,23,38
male,127,40,22,32,37
female,127,36,29,23,37
female,129,34,30,26,37
male,125,36,29,26,35
male,125,36,33,20,35
male,123,35,24,26,44
female,128,39,28,26,35
female,128,32,26,35,38
female,129,34,29,29,37
female,125,36,28,29,35
female,126,35,30,29,33
male,127,39,25,29,38
male,127,40,28,23,37
male,126,36,26,26,40
male,127,32,28,29,41
male,127,32,34,20,37
female,125,38,26,20,43
female,126,35,26,26,41
female,127,34,24,29,43
male,125,38,26,32,33
female,126,35,25,35,37
female,126,39,22,26,43
male,128,43,22,32,35
male,127,36,29,23,37
female,128,38,29,29,32
female,125,31,31,38,30
male,126,38,26,26,38
male,127,36,28,29,37
female,127,38,25,32,35
male,126,31,31,32,33
female,127,34,39,20,29
female,127,35,26,29,38
male,127,34,26,23,43
male,127,32,26,29,41
male,128,38,25,26,40
male,129,36,29,32,35
female,131,36,24,35,41
male,130,38,28,26,38
female,128,34,24,32,44
male,132,35,31,29,35
male,128,31,30,38,33
male,131,32,37,23,35
female,132,32,31,29,38
male,131,36,34,23,33
male,130,30,30,32,38
female,131,35,33,32,32
male,133,34,30,32,37
male,131,32,29,35,37
male,134,50,22,20,40
male,130,35,25,41,37
female,128,38,26,26,40
male,130,35,28,32,37
male,129,35,28,29,40
male,128,31,31,32,35
male,131,32,30,26,41
female,131,35,30,26,38
male,130,39,28,29,37
female,130,39,28,32,33
male,130,35,30,29,37
male,129,35,25,29,44
male,129,31,24,44,40
female,130,38,25,32,38
female,133,38,28,32,37
male,133,36,29,35,35
female,130,34,29,29,38
female,131,42,30,23,35
female,130,43,24,29,37
female,129,35,28,29,40
female,133,34,30,32,37
male,128,39,28,29,35
male,130,34,28,35,38
male,131,32,29,29,41
female,131,35,30,26,38
male,130,42,25,41,30
male,129,32,26,32,43
female,132,39,28,32,35
female,130,39,29,23,37
male,129,35,34,32,30
male,131,35,29,32,38
male,130,35,30,29,37
female,130,36,26,26,44
male,133,38,25,32,41
male,128,38,25,29,40
female,130,38,30,32,30
male,128,32,35,29,32
male,130,36,28,29,40
female,131,38,29,32,35
male,130,35,29,29,37
female,133,42,26,29,37
male,128,38,30,20,40
male,130,35,31,23,37
female,130,36,24,38,40
male,131,36,26,29,41
male,128,35,29,32,35
female,130,39,28,20,41
male,129,35,28,29,40
male,130,36,28,29,40
male,128,40,24,26,44
male,130,32,29,23,44
female,129,35,26,32,40
male,130,36,25,29,44
female,130,35,28,32,37
female,130,39,29,23,37
male,131,35,26,35,38
male,129,35,25,29,44
female,131,32,30,32,37
female,133,35,26,35,40
male,130,42,25,29,38
female,131,43,28,23,38
male,131,38,30,29,35
male,133,34,29,35,37
male,129,40,28,29,35
female,133,42,26,29,37
male,130,32,26,29,44
female,130,36,25,32,40
male,133,36,31,29,35
male,133,39,25,32,40
male,132,38,24,29,44
male,130,39,29,32,33
male,131,39,22,41,38
male,133,38,29,29,37
male,133,38,26,35,37
female,130,34,30,26,38
male,132,42,25,26,40
male,130,34,24,41,38
female,129,38,24,32,41
male,130,38,26,29,38
female,133,34,31,29,37
female,127,30,34,32,33
male,129,34,28,29,41
female,128,39,31,20,35
female,130,36,26,32,40
female,130,39,28,26,37
female,130,35,29,32,37
male,131,38,29,32,35
male,133,38,29,29,37
male,128,34,29,26,40
female,132,32,28,38,38
male,130,35,22,38,41
female,132,32,35,20,38
female,133,38,29,35,33
female,128,36,30,23,38
male,130,39,28,29,37
female,131,35,33,32,32
male,132,36,28,32,38
male,129,40,25,35,35
male,130,40,25,26,40
male,133,34,30,32,37
male,129,34,30,29,37
male,130,36,25,35,40
male,132,35,31,29,35
female,130,34,30,26,38
male,130,39,28,26,37
female,130,35,30,32,33
male,130,38,30,23,38
male,131,42,28,26,35
female,130,39,31,26,33
female,132,34,26,35,40
female,131,32,34,29,35
female,129,35,28,29,40
female,131,35,33,32,32
female,132,34,26,35,40
male,128,35,25,29,43
female,130,34,29,29,38
female,131,39,28,29,38
male,131,32,31,26,41
male,131,38,33,20,35
male,130,39,30,26,33
female,129,32,25,35,43
male,129,32,37,26,33
female,131,32,31,29,37
male,130,39,25,32,37
male,131,40,24,38,37
male,133,39,25,26,44
male,131,32,31,29,37
female,128,34,30,23,40
male,133,32,28,32,43
male,128,39,29,26,35
male,132,36,26,23,46
female,131,36,30,29,37
male,130,30,31,29,38
female,130,35,29,35,33
male,130,36,25,32,40
female,131,36,30,26,37
male,130,35,29,29,37
male,130,43,24,29,37
male,130,34,30,26,38
female,131,35,28,32,38
female,131,39,28,29,38
male,132,42,25,38,32
female,132,32,30,32,38
male,131,42,25,32,35
female,131,36,28,29,41
male,133,42,29,29,33
female,130,39,28,35,33
male,131,36,28,26,41
male,131,39,28,26,38
female,129,38,28,29,37
male,131,34,30,32,35
female,131,32,30,35,37
female,131,32,29,38,37
male,126,38,21,32,44
male,132,42,26,23,40
male,131,36,29,32,37
female,131,40,22,32,41
female,133,35,29,29,40
female,128,28,34,26,38
female,132,38,28,26,40
female,131,36,31,29,33
female,131,36,33,20,37
male,131,35,28,23,46
female,130,36,29,23,40
female,130,31,35,23,37
female,128,32,30,38,32
male,133,38,26,35,37
male,130,31,28,32,41
male,129,38,25,35,37
male,130,39,24,29,41
male,132,39,26,35,35
male,131,36,34,20,37
male,131,32,29,29,41
male,129,34,26,38,37
male,129,34,33,23,37
female,130,36,28,29,40
male,131,35,29,32,38
female,133,39,26,29,40
male,131,32,34,23,37
male,130,38,30,23,38
male,132,36,28,32,38
female,130,32,28,32,40
male,131,32,33,29,37
male,128,36,28,29,38
male,132,35,33,26,35
female,128,36,29,26,38
male,132,36,24,41,38
male,130,35,33,29,33
male,130,31,34,29,35
male,129,36,30,29,35
male,131,34,31,32,35
female,130,38,26,29,38
male,132,35,25,32,43
male,131,30,24,41,43
male,133,43,30,26,32
male,131,36,25,38,37
male,130,39,29,32,33
male,130,34,31,26,38
male,130,31,33,32,35
female,133,35,26,29,44
female,128,32,26,38,38
female,131,35,29,32,38
male,131,36,30,26,37
male,130,34,22,44,38
male,130,35,30,20,41
male,130,35,26,35,37
male,131,35,29,29,38
female,130,35,30,26,37
male,128,36,29,26,38
female,130,36,29,26,40
male,128,34,29,26,40
male,132,38,26,29,40
female,128,35,28,35,35
female,130,35,29,29,37
female,129,32,33,29,35
male,133,42,22,32,41
male,130,36,25,32,40
female,130,36,29,26,40
male,126,42,25,23,40
male,129,31,34,38,30
male,132,36,29,29,38
female,133,42,30,26,33
male,131,36,31,26,37
male,130,35,33,29,33
male,130,38,30,23,38
female,131,32,33,26,37
male,130,35,26,32,41
male,129,39,28,23,40
female,131,36,28,32,37
male,128,36,24,38,38
female,128,34,34,26,32
male,133,40,31,23,35
male,130,35,31,29,33
female,129,36,29,32,35
female,130,35,26,35,37
male,129,38,25,29,41
male,131,39,26,32,38
female,129,35,31,32,32
female,132,32,31,29,38
female,131,36,30,35,33
male,133,30,33,26,41
male,128,36,29,26,38
male,130,36,25,32,40
male,128,31,33,32,33
male,130,39,24,29,41
male,132,32,31,29,38
male,135,40,31,29,33
male,133,42,29,26,37
male,133,40,28,35,35
male,132,32,33,29,38
male,133,38,26,32,41
male,135,42,30,26,35
male,134,36,28,35,40
female,135,42,25,38,35
male,133,35,31,26,40
female,135,38,28,38,35
female,134,40,29,23,40
male,136,38,20,38,48
male,134,35,30,26,41
male,135,32,30,32,41
male,134,38,29,32,38
female,134,35,34,26,37
male,134,35,30,35,37
female,133,39,29,26,40
male,135,35,30,32,38
female,135,36,29,35,37
female,136,36,31,29,38
male,133,35,29,26,44
female,134,36,29,32,40
female,135,42,30,26,35
male,132,38,26,32,40
female,135,36,28,38,37
male,134,40,21,41,40
female,136,35,30,26,43
female,134,35,34,29,35
female,133,38,29,26,41
female,134,34,31,29,38
male,134,38,29,29,38
male,134,39,29,29,37
female,136,39,24,35,43
female,134,36,25,38,40
female,133,34,33,29,37
male,132,34,26,32,44
male,136,40,30,26,38
male,133,35,31,26,40
female,135,36,31,29,37
male,136,36,34,23,38
male,134,35,35,26,35
female,134,32,33,29,40
male,133,35,24,38,44
male,134,36,31,26,40
male,132,34,26,32,44
female,134,34,33,26,38
female,133,32,34,35,33
male,134,39,28,32,37
female,132,34,30,29,40
female,134,35,31,29,37
male,134,36,26,35,40
female,133,39,26,26,44
male,132,35,37,20,35
female,132,34,29,32,40
male,134,42,26,32,38
female,132,34,28,35,40
male,135,39,26,35,38
female,132,36,30,29,38
male,131,30,33,35,37
male,135,38,30,32,35
male,135,40,30,26,37
male,132,38,28,29,40
female,133,40,30,29,35
female,136,34,25,38,44
male,132,36,30,29,38
male,136,42,25,32,40
female,132,27,43,29,29
female,132,38,25,35,40
female,133,32,34,35,33
female,132,34,30,29,40
male,133,35,30,29,40
female,130,31,35,29,35
male,134,35,29,35,37
female,134,36,30,29,40
male,133,34,25,41,41
female,132,31,31,35,37
female,134,35,30,29,41
female,135,32,29,35,41
female,134,36,25,29,48
male,136,43,30,26,35
female,133,31,34,29,38
female,134,36,30,26,40
female,133,38,30,35,33
male,134,32,33,29,40
female,135,38,29,35,35
female,132,36,31,26,38
female,136,34,31,29,40
female,134,35,34,23,37
male,134,36,31,26,40
male,136,38,29,29,40
female,134,35,33,26,37
male,136,39,35,20,35
female,131,32,30,41,35
male,132,34,35,35,30
female,134,35,29,35,37
female,132,35,33,32,33
male,136,36,26,29,46
female,134,36,30,26,40
male,134,36,29,29,40
female,132,31,30,38,37
male,135,34,28,32,43
female,134,39,26,29,41
female,134,45,31,20,35
male,133,36,31,20,43
male,134,36,30,26,40
male,133,36,34,26,35
male,133,34,31,35,35
female,135,36,30,26,41
female,134,38,33,23,38
male,134,40,25,32,40
female,136,39,24,35,43
female,135,36,30,32,37
female,136,38,29,29,40
male,136,39,31,29,35
female,136,40,29,29,38
female,132,38,28,29,40
male,134,36,29,29,40
female,133,34,29,32,41
female,132,39,26,26,43
female,131,32,37,26,35
female,134,35,25,29,49
male,134,36,38,26,30
male,133,35,26,38,40
male,134,35,33,32,35
male,133,40,33,23,35
male,132,35,30,35,35
male,134,42,25,32,38
male,132,35,34,26,35
female,134,34,29,35,38
female,134,45,28,26,35
male,131,34,30,41,33
male,134,31,29,35,41
male,134,39,28,29,41
female,132,39,26,26,43
female,134,36,31,26,40
male,133,38,31,26,37
male,134,36,25,35,44
female,134,38,26,35,38
male,134,36,31,23,40
female,134,40,30,32,32
female,132,38,29,38,32
male,135,38,29,35,35
female,132,31,33,35,37
male,135,43,25,32,38
female,135,39,25,38,38
male,133,36,31,32,35
male,134,36,24,41,40
male,135,39,28,32,38
male,134,39,26,38,37
female,134,36,29,29,40
female,134,38,25,29,46
female,135,40,28,32,37
male,134,35,29,38,37
female,134,35,31,29,37
female,135,39,28,32,38
female,132,42,28,23,40
female,133,32,31,35,37
female,134,36,34,20,40
female,134,35,29,35,37
male,134,34,31,32,38
male,134,39,31,26,37
female,132,39,34,20,35
male,134,39,25,41,37
male,134,40,30,20,40
female,134,36,26,35,40
female,133,34,30,38,35
male,133,35,29,32,40
male,133,31,30,35,40
male,135,32,29,35,41
female,134,35,33,29,37
female,134,35,31,29,37
female,133,34,34,29,35
male,135,38,33,26,35
female,136,34,30,32,40
female,132,42,24,32,40
female,132,39,29,32,35
female,132,31,31,35,37
male,134,36,33,23,40
male,135,38,31,29,35
female,133,34,31,35,35
male,134,34,33,26,38
male,136,39,26,29,43
male,134,38,28,32,38
female,132,35,34,32,33
male,134,35,35,23,37
female,135,36,30,32,37
male,134,39,25,41,37
male,135,39,28,32,38
male,135,34,29,29,43
female,133,36,25,35,43
male,136,40,25,38,38
male,135,35,29,35,38
female,132,39,30,29,35
female,132,32,29,38,38
male,136,38,28,32,40
male,132,30,31,35,38
female,133,36,33,29,35
male,132,40,28,29,38
male,134,34,26,41,38
male,136,40,29,29,38
female,133,32,31,26,43
female,135,40,34,23,33
male,133,36,29,26,43
male,134,39,31,29,33
male,134,36,25,32,44
female,136,36,29,35,38
male,133,34,31,35,35
female,133,34,29,38,37
male,136,35,29,29,43
male,134,38,29,29,38
female,130,34,33,35,32
male,134,36,28,35,40
male,134,38,29,29,38
female,134,38,30,29,38
male,135,36,30,32,37
male,135,40,33,23,37
male,137,36,33,32,37
male,135,34,31,35,37
male,136,40,26,38,38
male,136,36,35,23,38
male,135,40,28,29,41
female,139,40,34,23,37
female,135,32,33,38,35
male,135,30,37,32,37
female,138,38,30,32,38
female,137,34,31,29,41
male,135,36,31,32,37
female,137,38,34,26,37
female,139,39,28,38,38
female,137,38,30,32,37
female,137,38,29,32,41
male,137,36,29,29,43
male,139,34,29,35,43
male,135,40,25,35,41
male,137,34,33,26,41
female,137,38,33,29,37
